ensembl_id	no_na	mean	median	sd	lowerq	upperq	min	max
ENSG00000171532	101	21.128712871287128	17	19.768997630803963	5	31	1	95
ENSG00000214546	97	21.938144329896907	18	19.757811974523356	5	31	1	95
ENSG00000131771	101	21.99009900990099	19	19.450190255884362	5	31	1	95
ENSG00000141744	101	22.277227722772277	20	19.43765356820683	6	31	1	95
ENSG00000173991	101	22.178217821782177	20	19.427504234771877	6	31	1	95
ENSG00000131748	101	22.168316831683168	20	19.400035725189113	6	31	1	95
ENSG00000161395	101	22.08910891089109	20	19.37684133696769	6	31	1	95
ENSG00000265178	101	22.04950495049505	19	19.348579398820867	6	31	1	95
ENSG00000141736	101	22.15841584158416	20	19.31669364734417	6	31	1	95
ENSG00000222777	100	19.02	12.5	19.24114908683518	4	30	1	95
ENSG00000273576	100	19.62	15	19.087665910188964	4	30	1	95
ENSG00000108306	101	14.396039603960396	6	18.246686936493862	2	20	1	115
ENSG00000073605	101	18.93069306930693	12	18.22100843847155	4	30	1	93
ENSG00000172057	101	18.940594059405942	12	18.211436946149096	4	30	1	93
ENSG00000186075	101	19.445544554455445	17	18.051855997389715	4	30	1	93
ENSG00000141741	99	21.494949494949495	19	18.001912447935567	6	30.5	1	93
ENSG00000223091	100	17	9	17.93985462143949	3	29.25	1	95
ENSG00000141738	101	21.22772277227723	18	17.934815966783052	6	30	1	93
ENSG00000226117	100	20.02	17	17.87667065018969	5	30	1	93
ENSG00000264663	101	19.95049504950495	17	17.800773150413306	5	30	1	93
ENSG00000167258	101	17.782178217821784	12	17.799777504449903	3	30	1	95
ENSG00000161405	101	20.425742574257427	17	17.575179392912872	5	30	1	93
ENSG00000265904	100	13.41	6	17.505609490570833	2	18	1	115
ENSG00000266469	101	14.92079207920792	6	17.441721915176167	2	24	1	95
ENSG00000125686	101	14.851485148514852	6	17.39044918259092	2	24	1	95
ENSG00000167914	101	17.26732673267327	11	17.26087546395542	3	27	1	93
ENSG00000204913	101	17.613861386138613	12	17.245851847345612	3	28	1	93
ENSG00000264968	101	17.801980198019802	12	17.166257484950062	4	28	1	93
ENSG00000265460	101	12.623762376237623	5	16.66064313593477	2	17	1	115
ENSG00000141750	101	11.841584158415841	5	16.02543769964947	2	15	1	115
ENSG00000108298	101	11.574257425742575	5	16.022700480663968	2	13	1	115
ENSG00000108344	101	16.217821782178216	10	15.643275846443442	3	27	1	60
ENSG00000265799	101	15.188118811881187	8	15.029113660683473	3	25	1	60
ENSG00000108342	101	14.871287128712872	8	14.951028972172205	3	24	1	60
ENSG00000275267	101	14.168316831683168	7	14.544462387404144	2	23	1	60
ENSG00000238793	101	14.168316831683168	7	14.544462387404144	2	23	1	60
ENSG00000008838	101	13.821782178217822	7	14.341126901052064	2	23	1	60
ENSG00000126368	101	11.752475247524753	5	13.632612325298522	2	20	1	60
ENSG00000126351	101	11.841584158415841	5	13.594655327199234	2	20	1	60
ENSG00000274621	100	10.41	4	12.670729013650861	2	15.5	1	55
ENSG00000188895	101	10.465346534653465	4	12.619480461917316	2	16	1	55
